Date,Open,High,Low,Close,Volume,Adj Close
2015-03-26,197.570007,201.119995,196.259995,200.559998,1499700,196.091382
2015-03-25,203.339996,204.00,199.00,199.020004,1338200,194.585701
2015-03-24,202.339996,204.369995,200.949997,203.300003,1250900,198.770338
2015-03-23,203.330002,204.589996,202.919998,202.919998,1028100,198.3988
2015-03-20,203.050003,204.039993,201.669998,203.770004,3938100,199.229867
2015-03-19,202.50,203.360001,201.039993,202.190002,1178000,197.685069
2015-03-18,200.770004,203.490005,198.360001,202.600006,872800,198.085938
2015-03-17,201.479996,202.00,200.029999,200.669998,936600,196.198932
2015-03-16,198.220001,202.300003,198.100006,202.110001,1198000,197.60685
2015-03-13,197.970001,199.009995,195.600006,197.110001,1155400,192.718253
2015-03-12,197.539993,198.949997,197.539993,198.779999,1047200,194.351043
2015-03-11,197.940002,198.410004,196.910004,197.210007,953000,192.816031
2015-03-10,198.410004,198.979996,197.309998,197.580002,1087100,193.177782
2015-03-09,197.419998,200.490005,197.210007,199.740005,887600,195.28966
2015-03-06,198.380005,198.639999,196.710007,197.660004,1220300,193.256002
2015-03-05,199.369995,200.029999,198.75,199.100006,872300,194.66392
2015-03-04,199.699997,200.080002,198.779999,198.970001,851400,194.536812
2015-03-03,202.449997,202.449997,199.429993,199.929993,1312100,195.475414
2015-03-02,200.050003,203.130005,200.050003,203.020004,1037400,198.496578
2015-02-27,201.00,201.940002,200.00,200.050003,1311400,195.59275
2015-02-26,203.25,203.839996,200.529999,201.330002,1349700,196.84423
2015-02-25,207.050003,207.059998,204.50,204.860001,2759800,198.828998
2015-02-24,205.509995,206.929993,204.820007,206.619995,1168600,200.537179
2015-02-23,204.00,205.660004,203.199997,205.589996,1440600,199.537503
2015-02-20,200.860001,204.00,200.279999,203.990005,1301400,197.984616
2015-02-19,198.559998,201.740005,197.970001,201.710007,1775000,195.771739
2015-02-18,197.570007,198.580002,196.949997,198.570007,902000,192.72418
2015-02-17,196.529999,198.300003,195.770004,197.570007,1023300,191.75362
2015-02-13,197.289993,198.389999,196.190002,196.949997,1253900,191.151862
2015-02-12,196.710007,198.229996,196.389999,197.479996,1217900,191.666258
2015-02-11,195.169998,197.179993,195.00,196.309998,1439300,190.530704
2015-02-10,195.100006,195.979996,193.880005,195.669998,1280600,189.909546
2015-02-09,194.350006,194.990005,192.699997,193.020004,1208300,187.337567
2015-02-06,194.289993,196.949997,192.899994,195.240005,1117300,189.492212
2015-02-05,193.080002,194.470001,191.580002,194.059998,1063200,188.346943
2015-02-04,191.339996,193.529999,190.619995,192.279999,1230900,186.619347
2015-02-03,190.380005,192.300003,189.589996,192.00,1618200,186.347591
2015-02-02,188.410004,189.759995,186.009995,189.330002,1554000,183.756197
2015-01-30,189.770004,190.960007,188.279999,188.369995,2287900,182.824453
2015-01-29,189.259995,192.529999,187.100006,192.50,2017000,186.832872
2015-01-28,191.839996,194.800003,189.00,189.25,1570400,183.67855
2015-01-27,193.00,193.490005,190.320007,190.550003,1942700,184.940282
2015-01-26,196.25,196.919998,193.029999,195.679993,1338900,189.919246
2015-01-23,197.990005,198.880005,196.949997,197.440002,1313000,191.627442
2015-01-22,197.00,198.559998,195.279999,198.089996,1307900,192.258301
2015-01-21,195.00,196.75,194.110001,195.50,966600,189.744553
2015-01-20,196.630005,196.990005,193.009995,195.75,857800,189.987193
2015-01-16,191.880005,194.770004,191.880005,194.710007,1085600,188.977817
2015-01-15,193.229996,194.729996,191.850006,192.369995,896600,186.706694
2015-01-14,194.149994,194.240005,191.630005,193.229996,1101100,187.541377
2015-01-13,196.139999,198.440002,192.679993,194.350006,1095000,188.628414
2015-01-12,195.509995,196.229996,193.710007,194.470001,896400,188.744877
2015-01-09,195.089996,197.070007,194.820007,195.020004,1439500,189.278688
2015-01-08,190.899994,196.880005,190.899994,195.130005,1950900,189.38545
2015-01-07,189.320007,191.020004,189.220001,190.830002,941900,185.212038
2015-01-06,189.619995,190.990005,186.800003,188.399994,1205800,182.853568
2015-01-05,192.899994,194.50,188.600006,189.289993,1506200,183.717366
2015-01-02,192.100006,194.479996,191.039993,193.309998,902100,187.619023
2014-12-31,194.910004,195.970001,192.520004,192.570007,706500,186.900818
2014-12-30,195.240005,196.410004,195.00,195.429993,523600,189.676606
2014-12-29,196.929993,196.929993,194.710007,195.639999,610800,189.880431
2014-12-26,196.710007,197.809998,196.580002,196.839996,547400,191.0451
2014-12-24,195.970001,197.910004,195.789993,196.429993,403200,190.647167
2014-12-23,198.50,198.720001,195.75,195.770004,986000,190.006608
2014-12-22,193.399994,196.960007,193.399994,196.449997,1105500,190.666582
2014-12-19,191.550003,194.240005,191.009995,192.850006,2609100,187.172574
2014-12-18,187.550003,191.720001,186.039993,191.639999,1670500,185.998189
2014-12-17,185.389999,185.929993,182.410004,185.149994,1482600,179.699247
2014-12-16,184.00,188.429993,183.990005,185.389999,1228600,179.932187
2014-12-15,185.589996,187.259995,183.059998,184.210007,1308200,178.786933
2014-12-12,187.279999,188.039993,184.779999,185.179993,1204600,179.728363
2014-12-11,188.759995,190.399994,188.039993,189.25,1170600,183.67855
2014-12-10,189.75,190.699997,187.559998,187.910004,1244000,182.378003
2014-12-09,188.309998,190.75,188.130005,190.619995,1140800,185.008213
2014-12-08,190.00,190.610001,188.770004,189.850006,1669000,184.260893
2014-12-05,189.070007,190.179993,188.470001,189.869995,1204300,184.280293
2014-12-04,189.979996,190.25,188.470001,189.729996,900100,184.144415
2014-12-03,190.199997,190.669998,189.649994,189.679993,1383300,184.095884
2014-12-02,190.669998,191.570007,189.320007,190.110001,1659900,184.513233
2014-12-01,190.929993,191.880005,190.020004,191.100006,1538300,185.474093
2014-11-28,189.619995,192.580002,189.00,191.559998,940900,185.920542
2014-11-26,187.50,189.550003,187.130005,189.149994,1320600,183.581488
2014-11-25,188.820007,190.039993,188.550003,188.669998,1808100,181.65979
2014-11-24,188.279999,189.259995,188.00,188.820007,1127000,181.804225
2014-11-21,187.960007,188.279999,187.179993,187.929993,1327800,180.94728
2014-11-20,185.649994,185.979996,184.389999,185.559998,1021600,178.665344
2014-11-19,186.070007,186.759995,185.410004,186.00,1167400,179.088998
2014-11-18,185.279999,187.240005,184.50,186.559998,1775200,179.628188
2014-11-17,186.690002,187.179993,185.360001,185.509995,1160900,178.617199
2014-11-14,187.990005,188.00,185.910004,186.600006,1665700,179.66671
2014-11-13,187.179993,189.050003,186.929993,187.970001,990600,180.985802
2014-11-12,186.929993,187.820007,186.350006,186.869995,789300,179.926667
2014-11-11,187.00,188.440002,186.740005,187.119995,881400,180.167378
2014-11-10,186.460007,187.259995,185.759995,186.990005,1296200,180.042219
2014-11-07,189.380005,189.410004,184.910004,186.149994,2569400,179.233418
2014-11-06,190.00,190.470001,189.080002,189.880005,995100,182.824837
2014-11-05,192.190002,192.339996,188.279999,189.729996,1743800,182.680402
2014-11-04,190.839996,192.940002,190.289993,190.789993,1667900,183.701014
2014-11-03,191.300003,191.929993,188.630005,190.75,1145900,183.662507
2014-10-31,191.399994,191.919998,189.660004,190.570007,1699900,183.489202
2014-10-30,185.960007,189.619995,184.830002,189.289993,1586000,182.256748
2014-10-29,186.029999,186.779999,184.910004,186.429993,1663700,179.503014
2014-10-28,184.100006,185.550003,182.679993,185.550003,1809200,178.655721
2014-10-27,181.690002,183.100006,180.699997,183.00,1071400,176.200466
2014-10-24,181.669998,181.759995,179.419998,181.330002,1550700,174.592518
2014-10-23,177.089996,181.630005,177.089996,180.669998,2442900,173.957037
2014-10-22,171.00,177.839996,170.710007,176.009995,3805700,169.47018
2014-10-21,170.149994,173.850006,166.279999,172.610001,4106600,166.196516
2014-10-20,175.929993,176.369995,173.929993,175.529999,2054900,169.008019
2014-10-17,176.839996,177.889999,175.860001,176.240005,2360100,169.691645
2014-10-16,173.229996,176.729996,172.449997,174.720001,1972800,168.228118
2014-10-15,174.009995,176.020004,170.259995,175.190002,2180500,168.680656
2014-10-14,173.550003,177.75,173.139999,176.110001,1585300,169.56647
2014-10-13,173.970001,176.449997,172.779999,172.880005,1473800,166.456488
2014-10-10,174.679993,176.779999,173.699997,174.470001,1668600,167.987407
2014-10-09,176.320007,176.559998,173.550003,174.550003,1581500,168.064436
2014-10-08,173.270004,176.550003,171.830002,176.350006,1677600,169.797558
2014-10-07,176.399994,176.559998,173.00,173.020004,1182700,166.591286
2014-10-06,179.619995,179.699997,176.669998,176.919998,1486300,170.346372
2014-10-03,177.669998,179.339996,176.919998,178.339996,2463700,171.713609
2014-10-02,177.660004,178.300003,175.789993,176.350006,1468900,169.797558
2014-10-01,181.149994,181.149994,177.080002,177.889999,1901400,171.280332
2014-09-30,182.600006,184.089996,182.130005,182.779999,1981200,175.988639
2014-09-29,181.800003,182.789993,180.110001,181.360001,1579900,174.621402
2014-09-26,177.539993,182.270004,177.539993,181.580002,1877700,174.833229
2014-09-25,178.100006,178.740005,176.259995,177.440002,1739100,170.847055
2014-09-24,176.279999,178.50,176.279999,178.389999,959400,171.761754
2014-09-23,178.529999,178.979996,175.919998,176.339996,1451100,169.78792
2014-09-22,179.720001,180.759995,178.759995,178.990005,1097400,172.339466
2014-09-19,180.490005,181.220001,180.220001,180.740005,1896300,174.024443
2014-09-18,179.369995,179.720001,178.300003,179.570007,1040400,172.897917
2014-09-17,177.779999,179.649994,177.449997,178.800003,1152600,172.156523
2014-09-16,175.130005,177.940002,175.020004,177.190002,1186800,170.606344
2014-09-15,174.419998,175.779999,173.919998,175.600006,678500,169.075425
2014-09-12,174.169998,174.990005,173.710007,174.429993,759400,167.948885
2014-09-11,174.380005,174.770004,173.580002,174.199997,1299200,167.727435
2014-09-10,174.960007,175.029999,173.720001,174.589996,2210500,168.102943
2014-09-09,175.600006,176.350006,174.839996,174.940002,1418300,168.439945
2014-09-08,174.520004,175.570007,174.360001,174.770004,926500,168.276263
2014-09-05,173.169998,174.649994,172.369995,174.580002,983600,168.09332
2014-09-04,173.990005,174.490005,172.759995,173.039993,1109000,166.610532
2014-09-03,174.940002,175.639999,173.210007,173.50,1454800,167.053447
2014-09-02,175.139999,175.309998,173.070007,173.800003,1547700,167.342303
2014-08-29,174.759995,175.089996,173.75,174.00,1532000,167.534869
2014-08-28,174.669998,175.050003,173.740005,174.100006,1455800,167.631159
2014-08-27,176.990005,177.190002,176.00,176.520004,1115200,168.680647
2014-08-26,176.970001,177.009995,176.039993,176.610001,1036500,168.766647
2014-08-25,175.75,177.070007,175.429993,176.529999,866400,168.690198
2014-08-22,174.710007,176.130005,174.360001,175.149994,801400,167.37148
2014-08-21,174.919998,175.490005,174.179993,175.100006,1088200,167.323712
2014-08-20,172.149994,175.470001,172.130005,175.309998,1351100,167.524378
2014-08-19,172.020004,172.399994,171.289993,172.130005,841100,164.48561
2014-08-18,170.199997,172.100006,170.039993,171.520004,766400,163.9027
2014-08-15,169.910004,170.50,167.940002,169.160004,1062400,161.647509
2014-08-14,169.339996,170.210007,168.860001,169.50,1030000,161.972406
2014-08-13,166.149994,169.399994,166.149994,169.089996,1081600,161.58061
2014-08-12,166.149994,167.149994,165.259995,165.779999,779500,158.417612
2014-08-11,166.860001,166.929993,166.00,166.149994,801800,158.771175
2014-08-08,163.110001,166.190002,163.100006,165.800003,1196000,158.436728
2014-08-07,164.279999,164.619995,162.520004,162.949997,1087100,155.713292
2014-08-06,166.080002,166.080002,162.710007,163.050003,1883000,155.808857
2014-08-05,167.789993,169.160004,166.559998,166.929993,1218900,159.516534
2014-08-04,167.559998,168.580002,167.029999,168.289993,1196400,160.816136
2014-08-01,166.720001,168.770004,166.190002,167.119995,1535900,159.698098
2014-07-31,169.080002,169.240005,166.970001,166.970001,1935900,159.554766
2014-07-30,170.240005,171.360001,168.839996,170.179993,1077200,162.622199
2014-07-29,170.50,170.660004,169.240005,169.330002,1063100,161.809957
2014-07-28,169.990005,170.570007,168.300003,170.00,1989600,162.4502
2014-07-25,169.330002,170.690002,169.190002,170.039993,2112300,162.488417
2014-07-24,168.529999,170.119995,167.820007,169.970001,1617600,162.421534
2014-07-23,167.759995,169.210007,167.220001,168.100006,1808500,160.634586
2014-07-22,164.50,168.179993,164.389999,167.869995,2174500,160.41479
2014-07-21,162.00,163.669998,161.190002,162.979996,1201200,155.741959
2014-07-18,161.820007,162.539993,161.059998,162.490005,1074700,155.273729
2014-07-17,161.110001,163.199997,160.559998,161.330002,1190600,154.165242
